Nrun Nevent TimeStamp LGCharge LGChargeRMS
80677 10000 1762641474 688.124 52.0083
80677 20000 1762641719 583.288 217.232
80677 30000 1762641899 609.523 48.1758
80677 40000 1762642078 601.482 42.2528
80677 50000 1762642258 576.234 42.3883
80677 60000 1762642438 562.761 45.563
80677 70000 1762642618 514.011 63.4147
80677 80000 1762642797 537.705 43.3555
80677 90000 1762642978 496.925 40.7425
80677 100000 1762643158 510.999 45.7622
